source,person_id,image_path,y0,x0,y1,x1,bmi,is_female,height_m,weight_kg,age
image2bmi,i2b_000002,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000002_F_18_165100_8482178.jpg,0.0,0.13178,1.0,1.0,31.1181,1.0,1.651,84.82178,18
image2bmi,i2b_000003,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000003_F_18_170180_3991613.jpg,0.0,0.0,1.0,1.0,13.7826,1.0,1.7018,39.91613,18
image2bmi,i2b_000003,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000003_F_18_170180_7257478.jpg,0.0,0.0,1.0,1.0,25.0593,1.0,1.7018,72.57478,18
image2bmi,i2b_000004,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000004_F_22_157480_6245967.jpg,0.0,0.0,1.0,0.72179,25.1854,1.0,1.5748,62.45967,22
image2bmi,i2b_000005,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000005_F_18_170180_12246995.jpg,0.0,0.0,1.0,1.0,42.2875,1.0,1.7018,122.46995,18
image2bmi,i2b_000005,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000005_F_18_170180_8618256.jpg,0.0,0.00667,1.0,1.0,29.7579,1.0,1.7018,86.18256,18
image2bmi,i2b_000007,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000007_F_27_157480_6214216.png,0.0,0.0,1.0,1.0,25.0574,1.0,1.5748,62.14216,27
image2bmi,i2b_000008,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000008_F_19_165100_8663615.jpg,0.01688,0.0,1.0,1.0,31.7837,1.0,1.651,86.63615,19
image2bmi,i2b_000010,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000010_F_31_160020_13870856.jpg,0.00017,0.0,1.0,1.0,54.1695,1.0,1.6002,138.70856,31
image2bmi,i2b_000013,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000013_F_19_170180_8436819.jpg,0.0,0.0,1.0,1.0,29.1314,1.0,1.7018,84.36819,19
image2bmi,i2b_000014,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000014_F_19_172720_6577090.jpg,0.0,0.0,1.0,1.0,22.047,1.0,1.7272,65.7709,19
image2bmi,i2b_000014,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000014_F_19_172720_8845052.jpg,0.0,0.02119,1.0,1.0,29.6493,1.0,1.7272,88.45052,19
image2bmi,i2b_000015,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000015_F_20_154940_6265335.jpg,0.0,0.0,1.0,0.9826,26.0986,1.0,1.5494,62.65335,20
image2bmi,i2b_000016,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000016_F_20_154940_5896701.jpg,0.0,0.03252,1.0,0.95447,24.563,1.0,1.5494,58.96701,20
image2bmi,i2b_000019,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000019_F_20_170180_14016005.jpg,0.0,0.00386,1.0,1.0,48.3957,1.0,1.7018,140.16005,20
image2bmi,i2b_000022,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000022_F_20_172720_7801788.jpg,0.0,0.02739,1.0,0.94022,26.1522,1.0,1.7272,78.01788,20
image2bmi,i2b_000023,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000023_F_20_175260_7620352.jpg,0.0,0.0,1.0,1.0,24.809,1.0,1.7526,76.20352,20
image2bmi,i2b_000026,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000026_F_20_160020_4195730.jpg,0.0,0.0,1.0,1.0,16.3855,1.0,1.6002,41.9573,20
image2bmi,i2b_000027,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000027_F_21_165100_7672334.jpg,0.0,0.0,1.0,1.0,28.1471,1.0,1.651,76.72334,21
image2bmi,i2b_000028,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000028_F_20_149860_6214216.jpg,0.0,0.0,1.0,1.0,27.6704,1.0,1.4986,62.14216,20
image2bmi,i2b_000029,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000029_F_21_152400_6758526.jpg,0.0,0.05736,1.0,1.0,29.0993,1.0,1.524,67.58526,21
image2bmi,i2b_000030,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000030_F_21_154940_7847149.jpg,0.0,0.0,1.0,0.92807,32.6877,1.0,1.5494,78.47149,21
image2bmi,i2b_000034,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000034_F_21_180340_10750140.jpg,0.0,0.06155,1.0,0.98403,33.0545,1.0,1.8034,107.5014,21
image2bmi,i2b_000035,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000035_F_21_165100_11929480.jpg,0.0,0.0,1.0,0.90522,43.765,1.0,1.651,119.2948,21
image2bmi,i2b_000036,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000036_F_21_165100_5987420.jpg,0.0,0.12078,1.0,1.0,21.9657,1.0,1.651,59.8742,21
image2bmi,i2b_000037,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000037_F_21_170180_6803886.jpg,0.01338,0.09798,1.0,1.0,23.4931,1.0,1.7018,68.03886,21
image2bmi,i2b_000038,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000038_F_21_172720_7484274.jpg,0.0,0.0,1.0,1.0,25.0879,1.0,1.7272,74.84274,21
image2bmi,i2b_000039,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000039_F_21_154940_4535924.jpg,0.0,0.04281,1.0,0.99235,18.8946,1.0,1.5494,45.35924,21
image2bmi,i2b_000039,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000039_F_21_154940_7257478.jpg,0.0,0.02907,1.0,1.0,30.2314,1.0,1.5494,72.57478,21
image2bmi,i2b_000040,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000040_F_21_160020_5942060.jpg,0.0,0.13728,0.9969,1.0,23.2054,1.0,1.6002,59.4206,21
image2bmi,i2b_000042,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000042_F_21_162560_11339810.jpg,0.0,0.0,1.0,1.0,42.912,1.0,1.6256,113.3981,21
image2bmi,i2b_000044,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000044_F_21_167640_5715264.jpg,0.0,0.06981,1.0,0.94341,20.3367,1.0,1.6764,57.15264,21
image2bmi,i2b_000045,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000045_F_21_170180_6758526.jpg,0.0,0.0,1.0,0.9627,23.3365,1.0,1.7018,67.58526,21
image2bmi,i2b_000046,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000046_F_21_172720_7574993.jpg,0.0,0.0,1.0,1.0,25.392,1.0,1.7272,75.74993,21
image2bmi,i2b_000046,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000046_F_21_172720_8799693.jpg,0.0,0.0,1.0,0.95604,29.4973,1.0,1.7272,87.99693,21
image2bmi,i2b_000047,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000047_F_21_185420_8346100.jpg,0.0,0.0,1.0,1.0,24.2756,1.0,1.8542,83.461,21
image2bmi,i2b_000047,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000047_F_21_185420_9525440.jpg,0.0,0.02403,1.0,0.94686,27.7059,1.0,1.8542,95.2544,21
image2bmi,i2b_000048,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000048_F_21_185420_9979033.jpg,0.0,0.0,1.0,1.0,29.0252,1.0,1.8542,99.79033,21
image2bmi,i2b_000049,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000049_F_22_149860_8935770.jpg,0.0,0.0,1.0,1.0,39.7888,1.0,1.4986,89.3577,22
image2bmi,i2b_000050,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000050_F_22_142240_11793402.jpg,0.0,0.0,1.0,1.0,58.2902,1.0,1.4224,117.93402,22
image2bmi,i2b_000050,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000050_F_22_142240_8845052.jpg,0.0,0.0,1.0,1.0,43.7177,1.0,1.4224,88.45052,22
image2bmi,i2b_000051,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000051_F_22_152400_7302838.jpg,0.0,0.07347,0.93376,1.0,31.4428,1.0,1.524,73.02838,22
image2bmi,i2b_000052,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000052_F_23_157480_6214216.jpg,0.0,0.0296,1.0,1.0,25.0574,1.0,1.5748,62.14216,23
image2bmi,i2b_000053,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000053_F_22_180340_10886218.jpg,0.0,0.0,1.0,0.96779,33.4729,1.0,1.8034,108.86218,22
image2bmi,i2b_000053,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000053_F_22_180340_8618256.jpg,0.0,0.01437,1.0,0.99238,26.4994,1.0,1.8034,86.18256,22
image2bmi,i2b_000054,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000054_F_22_157480_5851342.jpg,0.0,0.0,1.0,1.0,23.5942,1.0,1.5748,58.51342,22
image2bmi,i2b_000056,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000056_F_22_167640_5805983.png,0.0,0.0,1.0,1.0,20.6595,1.0,1.6764,58.05983,22
image2bmi,i2b_000056,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000056_F_22_167640_7030682.png,0.0,0.0,1.0,0.94905,25.0174,1.0,1.6764,70.30682,22
image2bmi,i2b_000057,/Users/a/Downloads/kaggle ZIP/Image Dataset/Image_train/000057_F_22_172720_14061364.jpg,0.0,0.05304,1.0,1.0,47.1349,1.0,1.7272,140.61364,22
